,Auction House,Value Sold,Number Sold,name_raw,,sold
3,Christies,"$1,056",2,"Cohn, Ola",,156
4,"Amanda Addams Auctions, Kew VIC",$785,4,"Cohn, Ola",,785
0,"Gibson's Auctioneers & Valuers, Armadale Vic","$2,623",3,"Coppersmith, Yvette",,2623
1,"Leski Auctions Pty. Ltd, Armadale VIC","$1,016",1,"Coppersmith, Yvette",,116
0,Sotheby's,"$4,666,890",93,"Cossington Smith, Grace",,4666890
1,"Deutscher and Hackett, South Yarra VIC","$2,719,405",30,"Cossington Smith, Grace",,2719405
2,Christies,"$2,105,871",101,"Cossington Smith, Grace",,2105871
3,"Menzies, Kensington NSW","$1,062,109",8,"Cossington Smith, Grace",,162109
4,"Bonhams, Woollahra NSW","$1,020,286",13,"Cossington Smith, Grace",,120286
5,Deutscher~Menzies,"$895,382",24,"Cossington Smith, Grace",,895382
6,"Leonard Joel, Prahran VIC","$292,735",39,"Cossington Smith, Grace",,292735
7,Rushton Fine Arts,"$226,000",8,"Cossington Smith, Grace",,2260
8,Bonhams & Goodman,"$185,188",7,"Cossington Smith, Grace",,185188
9,Joel Fine Art,"$164,533",4,"Cossington Smith, Grace",,164533
10,"Lawsons, Leichhardt NSW","$155,334",20,"Cossington Smith, Grace",,155334
11,"Smith & Singer, Vic","$104,318",2,"Cossington Smith, Grace",,104318
12,"Lawson~Menzies (now trading as Menzies), South Yarra VIC","$74,594",4,"Cossington Smith, Grace",,74594
13,"Shapiro Auctioneers, Woollahra NSW","$71,400",4,"Cossington Smith, Grace",,71400
14,Goodmans Auctioneers,"$59,570",4,"Cossington Smith, Grace",,59570
15,"Geoff K. Gray, Homebush NSW","$52,410",20,"Cossington Smith, Grace",,52410
16,"GFL Fine Art, Nedlands WA","$40,700",3,"Cossington Smith, Grace",,40700
17,"Elder Fine Art, North Adelaide SA","$16,790",1,"Cossington Smith, Grace",,16790
18,Phillips Auctioneers,"$16,500",1,"Cossington Smith, Grace",,16500
19,Mason Gray,"$16,425",3,"Cossington Smith, Grace",,16425
20,Bay East Auctions,"$14,400",1,"Cossington Smith, Grace",,14400
21,"Barsby Auctions, Artarmon NSW","$14,040",1,"Cossington Smith, Grace",,1440
22,"McKenzies Auctioneers, Claremont WA","$8,625",1,"Cossington Smith, Grace",,8625
23,Gregsons,"$5,200",1,"Cossington Smith, Grace",,5200
24,"Davidson Auctions, Annandale NSW","$1,355",2,"Cossington Smith, Grace",,1355
25,"Raffan Kelaher & Thomas P/L, Leichhardt NSW",$936,1,"Cossington Smith, Grace",,936
26,Aust. Art Auctions,$770,1,"Cossington Smith, Grace",,770
0,"Deutscher and Hackett, South Yarra VIC","$80,673",9,"Cotton, Olive",,80673
1,Sotheby's,"$45,720",11,"Cotton, Olive",,45720
2,Deutscher~Menzies,"$17,882",3,"Cotton, Olive",,17882
3,"Leonard Joel, Prahran VIC","$7,740",5,"Cotton, Olive",,7740
4,"Menzies, Kensington NSW","$6,750",1,"Cotton, Olive",,6750
5,"Mossgreen Auctions, Armadale VIC","$5,306",2,"Cotton, Olive",,5306
6,Phillips Auctioneers,"$3,680",1,"Cotton, Olive",,3680
7,Bonhams & Goodman,"$3,227",1,"Cotton, Olive",,3227
8,Artemis Auctions,"$1,200",1,"Cotton, Olive",,1200
9,"Lawsons, Leichhardt NSW",$736,1,"Cotton, Olive",,736
0,"Deutscher and Hackett, South Yarra VIC","$1,473",1,"Croft, Brenda L.",,1473
0,Christies,"$54,190",4,"Crowley, Grace",,54190
1,Sotheby's,"$24,310",3,"Crowley, Grace",,24310
2,"Lawsons, Leichhardt NSW","$7,079",4,"Crowley, Grace",,779
